"date","count"
"2015-06-29 00:00:00+00",156
"2015-06-30 00:00:00+00",581
"2015-07-01 00:00:00+00",981
"2015-07-02 00:00:00+00",496
"2015-07-03 00:00:00+00",747
"2015-07-04 00:00:00+00",242
"2015-07-06 00:00:00+00",806
"2015-07-07 00:00:00+00",409
"2015-07-08 00:00:00+00",536
"2015-07-09 00:00:00+00",670
"2015-07-10 00:00:00+00",578
"2015-07-11 00:00:00+00",551
"2015-07-12 00:00:00+00",482
"2015-07-13 00:00:00+00",219
"2015-07-14 00:00:00+00",409
"2015-07-15 00:00:00+00",694
"2015-07-16 00:00:00+00",901
"2015-07-17 00:00:00+00",919
"2015-07-18 00:00:00+00",90
"2015-07-20 00:00:00+00",498
"2015-07-21 00:00:00+00",1015
"2015-07-22 00:00:00+00",996
"2015-07-23 00:00:00+00",206
"2015-07-24 00:00:00+00",361
"2015-08-02 00:00:00+00",608
"2015-08-03 00:00:00+00",673
"2015-08-04 00:00:00+00",950
"2015-08-05 00:00:00+00",575
"2015-08-06 00:00:00+00",505
"2015-08-07 00:00:00+00",399
"2015-08-08 00:00:00+00",254
"2015-08-09 00:00:00+00",155
"2015-08-10 00:00:00+00",244
"2015-08-11 00:00:00+00",304
"2015-08-12 00:00:00+00",833
"2015-08-13 00:00:00+00",1017
"2015-08-14 00:00:00+00",1466
"2015-08-15 00:00:00+00",1804
"2015-08-16 00:00:00+00",1117
"2015-08-17 00:00:00+00",1705
"2015-08-18 00:00:00+00",1680
"2015-08-19 00:00:00+00",1462
"2015-08-20 00:00:00+00",1447
"2015-08-21 00:00:00+00",1357
"2015-08-22 00:00:00+00",1223
"2015-08-23 00:00:00+00",1042
"2015-08-24 00:00:00+00",1325
"2015-08-25 00:00:00+00",1333
"2015-08-26 00:00:00+00",1355
"2015-08-27 00:00:00+00",1471
"2015-08-28 00:00:00+00",1236
"2015-08-29 00:00:00+00",811
"2015-08-30 00:00:00+00",787
"2015-08-31 00:00:00+00",795
"2015-09-01 00:00:00+00",3990
"2015-09-02 00:00:00+00",3736
"2015-09-03 00:00:00+00",3807
"2015-09-04 00:00:00+00",3994
"2015-09-05 00:00:00+00",3613
"2015-09-06 00:00:00+00",3703
"2015-09-07 00:00:00+00",3124
"2015-09-08 00:00:00+00",3756
"2015-09-09 00:00:00+00",3837
"2015-09-10 00:00:00+00",3752
"2015-09-11 00:00:00+00",4052
"2015-09-12 00:00:00+00",3934
"2015-09-13 00:00:00+00",3676
"2015-09-14 00:00:00+00",4381
"2015-09-15 00:00:00+00",3825
"2015-09-16 00:00:00+00",4114
"2015-09-17 00:00:00+00",3674
"2015-09-18 00:00:00+00",3656
"2015-09-19 00:00:00+00",3505
"2015-09-20 00:00:00+00",2619
"2015-09-21 00:00:00+00",4086
"2015-09-22 00:00:00+00",3156
"2015-09-23 00:00:00+00",4816
"2015-09-24 00:00:00+00",8225
"2015-09-25 00:00:00+00",8463
"2015-09-26 00:00:00+00",9179
"2015-09-27 00:00:00+00",9220
"2015-09-28 00:00:00+00",9710
"2015-09-29 00:00:00+00",9923
"2015-09-30 00:00:00+00",9662
"2015-10-01 00:00:00+00",9614
"2015-10-02 00:00:00+00",10024
"2015-10-03 00:00:00+00",9680
"2015-10-04 00:00:00+00",10687
"2015-10-05 00:00:00+00",20108
"2015-10-06 00:00:00+00",20395
"2015-10-07 00:00:00+00",19499
"2015-10-08 00:00:00+00",18976
"2015-10-09 00:00:00+00",19714
"2015-10-10 00:00:00+00",20007
"2015-10-11 00:00:00+00",19761
"2015-10-12 00:00:00+00",19655
"2015-10-13 00:00:00+00",12957
"2015-10-14 00:00:00+00",13749
"2015-10-15 00:00:00+00",13988
"2015-10-16 00:00:00+00",14182
"2015-10-17 00:00:00+00",13784
"2015-10-18 00:00:00+00",13878
"2015-10-19 00:00:00+00",13635
"2015-10-20 00:00:00+00",16614
"2015-10-21 00:00:00+00",23171
"2015-10-22 00:00:00+00",22742
"2015-10-23 00:00:00+00",23332
"2015-10-24 00:00:00+00",24949
"2015-10-25 00:00:00+00",27803
"2015-10-26 00:00:00+00",28015
"2015-10-27 00:00:00+00",28440
"2015-10-28 00:00:00+00",28463
"2015-10-29 00:00:00+00",28190
"2015-10-30 00:00:00+00",28973
"2015-10-31 00:00:00+00",27169
"2015-11-01 00:00:00+00",26700
"2015-11-02 00:00:00+00",26383
"2015-11-03 00:00:00+00",28310
"2015-11-04 00:00:00+00",28668
"2015-11-05 00:00:00+00",28468
"2015-11-06 00:00:00+00",27149
"2015-11-07 00:00:00+00",26789
"2015-11-08 00:00:00+00",26474
"2015-11-09 00:00:00+00",28591
"2015-11-10 00:00:00+00",28334
"2015-11-11 00:00:00+00",28564
"2015-11-12 00:00:00+00",27975
"2015-11-13 00:00:00+00",27453
