"date","count"
"2015-06-29 00:00:00+00",6
"2015-06-29 01:00:00+00",6
"2015-06-29 02:00:00+00",5
"2015-06-29 03:00:00+00",12
"2015-06-29 04:00:00+00",10
"2015-06-29 05:00:00+00",11
"2015-06-29 06:00:00+00",11
"2015-06-29 07:00:00+00",12
"2015-06-29 08:00:00+00",5
"2015-06-29 09:00:00+00",11
"2015-06-29 10:00:00+00",11
"2015-06-29 11:00:00+00",12
"2015-06-29 12:00:00+00",5
"2015-06-29 13:00:00+00",12
"2015-06-29 14:00:00+00",27
"2015-06-30 04:00:00+00",26
"2015-06-30 05:00:00+00",20
"2015-06-30 07:00:00+00",23
"2015-06-30 10:00:00+00",10
"2015-06-30 11:00:00+00",13
"2015-06-30 12:00:00+00",22
"2015-06-30 13:00:00+00",46
"2015-06-30 14:00:00+00",44
"2015-06-30 15:00:00+00",44
"2015-06-30 16:00:00+00",41
"2015-06-30 17:00:00+00",42
"2015-06-30 18:00:00+00",40
"2015-06-30 19:00:00+00",41
"2015-06-30 20:00:00+00",45
"2015-06-30 21:00:00+00",44
"2015-06-30 22:00:00+00",40
"2015-06-30 23:00:00+00",40
"2015-07-01 00:00:00+00",26
"2015-07-01 01:00:00+00",41
"2015-07-01 02:00:00+00",45
"2015-07-01 03:00:00+00",40
"2015-07-01 04:00:00+00",42
"2015-07-01 05:00:00+00",39
"2015-07-01 06:00:00+00",40
"2015-07-01 07:00:00+00",41
"2015-07-01 08:00:00+00",42
"2015-07-01 09:00:00+00",45
"2015-07-01 10:00:00+00",44
"2015-07-01 11:00:00+00",39
"2015-07-01 12:00:00+00",40
"2015-07-01 13:00:00+00",43
"2015-07-01 14:00:00+00",36
"2015-07-01 15:00:00+00",39
"2015-07-01 16:00:00+00",41
"2015-07-01 17:00:00+00",42
"2015-07-01 18:00:00+00",42
"2015-07-01 19:00:00+00",44
"2015-07-01 20:00:00+00",39
"2015-07-01 21:00:00+00",44
"2015-07-01 22:00:00+00",44
"2015-07-01 23:00:00+00",43
"2015-07-02 00:00:00+00",39
"2015-07-02 01:00:00+00",44
"2015-07-02 02:00:00+00",44
"2015-07-02 03:00:00+00",40
"2015-07-02 04:00:00+00",36
"2015-07-02 05:00:00+00",57
"2015-07-02 06:00:00+00",20
"2015-07-02 07:00:00+00",40
"2015-07-02 08:00:00+00",41
"2015-07-02 09:00:00+00",46
"2015-07-02 10:00:00+00",40
"2015-07-02 11:00:00+00",31
"2015-07-02 12:00:00+00",18
"2015-07-03 05:00:00+00",38
"2015-07-03 06:00:00+00",31
"2015-07-03 07:00:00+00",23
"2015-07-03 08:00:00+00",43
"2015-07-03 09:00:00+00",40
"2015-07-03 10:00:00+00",34
"2015-07-03 11:00:00+00",33
"2015-07-03 12:00:00+00",33
"2015-07-03 13:00:00+00",44
"2015-07-03 14:00:00+00",45
"2015-07-03 15:00:00+00",44
"2015-07-03 16:00:00+00",43
"2015-07-03 17:00:00+00",46
"2015-07-03 18:00:00+00",39
"2015-07-03 19:00:00+00",48
"2015-07-03 20:00:00+00",47
"2015-07-03 21:00:00+00",48
"2015-07-03 22:00:00+00",46
"2015-07-03 23:00:00+00",22
"2015-07-04 00:00:00+00",23
"2015-07-04 01:00:00+00",24
"2015-07-04 02:00:00+00",29
"2015-07-04 03:00:00+00",29
"2015-07-04 04:00:00+00",26
"2015-07-04 05:00:00+00",33
